feature_family,variable_group,candidate_windows,status,temporal_role,coverage_note,source,frozen_in_fmd05
mean_temperature_2m,dynamic_meteorological,event_day;3day;7day;14day,ELIGIBLE_CANDIDATE,HISTORICAL_REANALYSIS,global (ERA5 covers full 2002-2026 FMD date range),ERA5 via Open-Meteo Historical Weather API,window not selected — see FMD_EVALUATION_PROTOCOL.md §3
mean_relative_humidity_2m_derived,dynamic_meteorological,event_day;3day;7day;14day,ELIGIBLE_CANDIDATE,HISTORICAL_REANALYSIS,global,ERA5 via Open-Meteo Historical Weather API (derived from temperature+dew point),window not selected — see FMD_EVALUATION_PROTOCOL.md §3
precipitation_accumulation,dynamic_meteorological,event_day;3day;7day;14day,ELIGIBLE_CANDIDATE,HISTORICAL_REANALYSIS,global,ERA5 via Open-Meteo Historical Weather API,window not selected — see FMD_EVALUATION_PROTOCOL.md §3
mean_u10,dynamic_meteorological,event_day;3day;7day;14day,ELIGIBLE_CANDIDATE,HISTORICAL_REANALYSIS,global,ERA5 via Open-Meteo Historical Weather API,window not selected — see FMD_EVALUATION_PROTOCOL.md §3
mean_v10,dynamic_meteorological,event_day;3day;7day;14day,ELIGIBLE_CANDIDATE,HISTORICAL_REANALYSIS,global,ERA5 via Open-Meteo Historical Weather API,window not selected — see FMD_EVALUATION_PROTOCOL.md §3
mean_wind_speed,dynamic_meteorological,event_day;3day;7day;14day,ELIGIBLE_CANDIDATE,HISTORICAL_REANALYSIS,global,ERA5 via Open-Meteo Historical Weather API,window not selected — see FMD_EVALUATION_PROTOCOL.md §3
vector_resultant_speed,dynamic_meteorological,event_day;3day;7day;14day,ELIGIBLE_CANDIDATE,HISTORICAL_REANALYSIS,global,"ERA5 via Open-Meteo (paired hourly speed+direction, never averaged compass degrees)",window not selected — see FMD_EVALUATION_PROTOCOL.md §3
directional_persistence,dynamic_meteorological,event_day;3day;7day;14day,ELIGIBLE_CANDIDATE,HISTORICAL_REANALYSIS,global,ERA5 via Open-Meteo Historical Weather API,window not selected — see FMD_EVALUATION_PROTOCOL.md §3
elevation_m,static_terrain,n/a (time-invariant),STATIC_REFERENCE_PROXY,STATIC_REFERENCE_PROXY,global mosaic (SRTM/NED/EU-DEM),AWS Terrain Tiles (Terrarium encoding),none required — time-invariant
cattle_density_animals_per_km2,static_host_density,n/a (single reference year),STATIC_REFERENCE_PROXY,STATIC_REFERENCE_PROXY,global; reference year 2015 not current,FAO GLW4 Da,none — half_extent_km fixed at 10.0 (non-outcome-tuned)
buffalo_density_animals_per_km2,static_host_density,n/a (single reference year),STATIC_REFERENCE_PROXY,STATIC_REFERENCE_PROXY,global; reference year 2015 not current,FAO GLW4 Da,none — half_extent_km fixed at 10.0 (non-outcome-tuned)
land_cover_class_fractions,static_landcover,n/a (2 static snapshots),STATIC_REFERENCE_PROXY,STATIC_REFERENCE_PROXY,"global; v100(2020)/v200(2021) only — genuine time-match only for events actually dated 2020/2021",ESA WorldCover 10m,none — half_extent_km fixed at 10.0 (non-outcome-tuned)
distance_to_nearest_river_km,static_hydrology,n/a (static hydrography),STATIC_REFERENCE_PROXY,STATIC_REFERENCE_PROXY,"Asia (""as"" region) ONLY — non-Asia events are OUTSIDE_SOURCE_COVERAGE, never queried against the wrong continent",HydroRIVERS v1.0 (HydroSHEDS),none
swine_pig_density,static_host_density,n/a,UNAVAILABLE,UNKNOWN,no validated adapter — GLW4 product exists but is not wired into this repository,FAO GLW4 (not integrated),cannot select what does not exist — not fabricated from cattle/buffalo
sheep_density,static_host_density,n/a,UNAVAILABLE,UNKNOWN,no validated adapter,FAO GLW4 (not integrated),cannot select what does not exist — not fabricated
goat_density,static_host_density,n/a,UNAVAILABLE,UNKNOWN,no validated adapter,FAO GLW4 (not integrated),cannot select what does not exist — not fabricated
road_density_or_livestock_movement_proxy,anthropogenic_movement,n/a,UNAVAILABLE,UNKNOWN,no adapter exists anywhere in the repository (verified by direct grep); osmnx not in requirements.txt,none,cannot select what does not exist — not fabricated
